['name', 'redshift', 'B-Band Mag', 'Strech', 'Color', 'dist mod', 'sample', 'Failed', '?', 'Position', 'Sn Type']
['1993ag', '0.0500', [17.79, 0.05], [-1.09, 0.24], [0.12, 0.02], [36.68, 0.17], '0.128', '1', '', [10.06, -35.4667], 'Anon.', 'Ia']
['1993o', '0.0529', [17.6, 0.05], [-1.03, 0.14], [-0.01, 0.02], [36.82, 0.16], '0.128', '1', '', [13.5183, -33.2167], 'Anon.', 'Ia']
['1993b', '0.0701', [18.43, 0.04], [-0.53, 0.21], [0.09, 0.02], [37.45, 0.16], '0.128', '1', '', [10.5817, -34.45], 'Anon.', '']
['1992bs', '0.0627', [18.25, 0.05], [-0.27, 0.23], [0.02, 0.02], [37.48, 0.16], '0.128', '1', '', [3.4917, -37.2833], 'Anon.', 'Ia']
['1992br', '0.0876', [19.19, 0.11], [-2.97, 0.38], [-0.04, 0.07], [38.23, 0.19], '0.128', '1', '', [1.7617, -56.1], 'Anon.', 'Ia']
['1992bp', '0.0786', [18.27, 0.04], [-1.27, 0.2], [-0.02, 0.02], [37.49, 0.16], '0.128', '1', '', [3.6117, -18.35], 'Anon.', 'Ia']
['1992bo', '0.0172', [15.75, 0.13], [-2.68, 0.18], [0.03, 0.02], [34.65, 0.2], '0.128', '1', '', [1.3667, -34.1833], 'ESO 352-G57', 'Ia']
['1992bl', '0.0422', [17.3, 0.08], [-1.95, 0.24], [0.02, 0.04], [36.34, 0.17], '0.128', '1', '', [23.2533, -44.75], 'ESO 291-G11', 'Ia']
['1992bh', '0.0453', [17.58, 0.05], [-0.02, 0.25], [0.1, 0.02], [36.64, 0.16], '0.128', '1', '', [4.9917, -58.8333], 'Anon.', 'Ia']
['1992bg', '0.0365', [16.71, 0.09], [-0.66, 0.22], [0.01, 0.03], [35.91, 0.17], '0.128', '1', '', [7.6983, -62.5167], 'Anon.', 'Ia']
['1992bc', '0.0196', [15.07, 0.11], [0.51, 0.1], [-0.05, 0.01], [34.59, 0.18], '0.128', '1', '', [3.0883, -39.55], 'ESO 300-G09', 'Ia']
['1992aq', '0.1009', [19.27, 0.05], [-1.36, 0.43], [-0.02, 0.03], [38.46, 0.17], '0.128', '1', '', [23.0767, -37.35], 'Anon.', '']
['1992al', '0.0135', [14.44, 0.16], [-0.41, 0.13], [-0.05, 0.01], [33.83, 0.22], '0.128', '1', 'z', [20.765, -51.4], 'ESO 234-G69', 'Ia']
['1992ag', '0.0273', [16.26, 0.09], [-0.13, 0.21], [0.19, 0.02], [35.09, 0.18], '0.128', '1', '', [13.4033, -23.8833], 'ESO 508-G67', 'Ia']
['1992ae', '0.0746', [18.39, 0.04], [-0.68, 0.21], [0.01, 0.03], [37.59, 0.16], '0.128', '1', '', [21.47, -61.55], 'Anon.', 'Ia']
['1992p', '0.0265', [16.03, 0.09], [0.7, 0.58], [-0.02, 0.02], [35.48, 0.19], '0.002', '1', '', [12.7133, 10.3667], 'IC 3690', 'Ia']
['1990af', '0.0499', [17.75, 0.05], [-2.65, 0.26], [0.07, 0.02], [36.57, 0.16], '0.128', '1', '', [21.5833, -62.75], 'Anon.', 'Ia']
['1990o', '0.0306', [16.19, 0.08], [0.39, 0.29], [-0.0, 0.03], [35.55, 0.17], '0.128', '1', '', [17.2583, 16.3167], 'MCG +03-44-3', '']
['1992bk', '0.0589', [18.04, 0.13], [-2.11, 0.32], [-0.04, 0.08], [37.2, 0.17], '0.128', '1', 'p', [3.7167, -53.6333], 'ESO 156-G08', 'Ia']
['1992au', '0.0603', [18.12, 0.11], [-1.8, 0.53], [0.01, 0.09], [37.18, 0.17], '0.128', '1', 'p', [0.1783, -49.95], 'Anon.', 'Ia']
['1992j', '0.0461', [17.7, 0.09], [-1.86, 0.27], [0.15, 0.05], [36.41, 0.16], '0.128', '1', 'p', [10.15, -26.65], 'Anon.', 'Ia']
['1991ag', '0.0139', [14.37, 0.17], [0.77, 0.22], [0.02, 0.03], [33.74, 0.22], '0.128', '1', 'p,z', [20.0033, -55.3833], 'IC 4919', 'Ia']
['1991u', '0.0324', [16.4, 0.09], [0.23, 0.22], [0.11, 0.03], [35.48, 0.17], '0.128', '1', 'p', [13.39, -26.1167], 'IC 4232', 'Ia']
['1991s', '0.0561', [17.71, 0.07], [0.24, 0.23], [0.02, 0.03], [37.02, 0.15], '0.128', '1', 'p', [10.49, 22.0167], 'UGC 5691', 'Ia?']
['1990y', '0.0387', [17.38, 0.08], [-0.33, 0.26], [0.25, 0.03], [36.03, 0.17], '0.128', '1', 'p', [3.6233, -33.0333], 'Anon.', '']
['1990t', '0.0397', [17.18, 0.07], [-0.59, 0.16], [0.08, 0.03], [36.23, 0.16], '0.128', '1', 'p', [19.9833, -56.2667], 'Anon.', '']
['2001cz', '0.0163', [15.02, 0.14], [0.04, 0.14], [0.12, 0.01], [34.04, 0.14], '0.128', '2', '', [12.7917, -39.5833], 'NGC 4679', 'Ia']
['2001cn', '0.0154', [15.26, 0.14], [-0.79, 0.12], [0.22, 0.01], [33.94, 0.15], '0.128', '2', '', [18.7717, -65.7667], 'IC 4758', 'Ia']
['2001bt', '0.0144', [15.26, 0.15], [-1.14, 0.11], [0.26, 0.01], [33.8, 0.16], '0.128', '2', 'z', [19.23, -59.2833], 'IC 4830', 'Ia']
['2001ba', '0.0305', [16.19, 0.07], [0.0, 0.14], [-0.04, 0.01], [35.6, 0.09], '0.128', '2', '', [11.6333, -32.3333], 'MCG -05-28-1', 'Ia']
['2000ca', '0.0245', [15.53, 0.09], [0.35, 0.2], [-0.07, 0.01], [35.06, 0.1], '0.128', '2', '', [13.59, -34.1667], 'ESO 383-32', 'Ia']
['2000bh', '0.0240', [15.92, 0.1], [-0.55, 0.17], [0.08, 0.03], [34.97, 0.11], '0.128', '2', '', [12.355, -22.0], 'ESO 573-14', 'Ia']
['1999gp', '0.0260', [16.0, 0.09], [1.64, 0.21], [0.06, 0.02], [35.37, 0.11], '0.128', '2', '', [2.5283, 39.3833], 'UGC 1993', 'Ia']
['1999dk', '0.0139', [14.81, 0.16], [0.29, 0.27], [0.11, 0.02], [33.88, 0.17], '0.128', '2', 'z', [1.525, 14.2833], 'UGC 1087', 'Ia']
['1999cp', '0.0104', [13.93, 0.21], [-0.05, 0.25], [-0.01, 0.02], [33.27, 0.22], '0.128', '2', 'z', [14.1083, -5.45], 'NGC 5468', 'Ia']
['1999cl', '0.0087', [14.81, 0.25], [-0.36, 0.2], [1.2, 0.01], [31.14, 0.26], '0.128', '2', 'z', [12.5317, 14.4333], 'NGC 4501', 'Ia']
['2000ce', '0.0165', [17.02, 0.14], [0.65, 0.24], [0.61, 0.03], [34.91, 0.15], '0.128', '2', 'p', [8.0867, 66.7833], 'UGC 4195', 'Ia']
['2000bk', '0.0266', [16.61, 0.13], [-2.72, 0.24], [0.05, 0.06], [35.48, 0.11], '0.128', '2', 'p', [12.565, -7.3833], 'NGC 4520', '']
['1993ac', '0.0489', [17.72, 0.08], [-1.16, 0.37], [0.07, 0.04], [36.73, 0.17], '0.000', '3', '', [5.7717, 63.35], 'Anon.', 'Ia']
['1994ae', '0.0043', [13.08, 0.51], [0.21, 0.1], [0.12, 0.01], [32.13, 0.53], '0.128', '3', 'z', [10.785, 17.2667], 'NGC 3370', 'Ia']
['1994m', '0.0243', [16.27, 0.09], [-1.74, 0.18], [0.11, 0.02], [35.11, 0.18], '0.000', '3', '', [12.52, 0.6], 'NGC 4493', 'Ia']
['1994s', '0.0152', [14.76, 0.14], [0.23, 0.27], [0.0, 0.02], [34.1, 0.22], '0.009', '3', '', [12.5217, 29.15], 'NGC 4495', 'Ia']
['1994t', '0.0357', [17.23, 0.07], [-2.03, 0.2], [0.13, 0.03], [35.96, 0.17], '0.798', '3', '', [13.3167, -2.15], 'Anon.', 'Ia']
['1995ac', '0.0488', [17.03, 0.05], [0.57, 0.14], [0.02, 0.01], [36.38, 0.16], '0.000', '3', '', [22.7617, -8.75], 'Anon.', 'Ia']
['1995ak', '0.0220', [15.94, 0.1], [-1.53, 0.2], [0.09, 0.03], [34.85, 0.19], '0.128', '3', '', [2.7633, 3.2333], 'IC 1844', 'Ia']
['1995al', '0.0050', [13.29, 0.43], [0.64, 0.19], [0.15, 0.02], [32.32, 0.46], '0.128', '3', 'z', [9.8483, 33.55], 'NGC 3021', 'Ia']
['1995bd', '0.0144', [15.25, 0.18], [0.54, 0.13], [0.34, 0.01], [33.8, 0.24], '0.128', '3', 'z', [4.7567, 11.0667], 'UGC 3151', 'Ia']
['1995d', '0.0065', [13.22, 0.33], [0.94, 0.13], [0.02, 0.02], [32.61, 0.37], '0.128', '3', 'z', [9.6817, 5.1333], 'NGC 2962', 'Ia']
['1995e', '0.0117', [16.68, 0.19], [-0.51, 0.17], [0.84, 0.02], [33.86, 0.24], '0.128', '3', 'z', [7.87, 73.0333], 'NGC 2441', 'Ia']
['1996ab', '0.1244', [19.44, 0.03], [0.17, 0.21], [-0.11, 0.02], [39.04, 0.16], '0.128', '3', '', [15.3533, 27.9167], 'Anon.', 'Ia']
['1996ai', '0.0030', [16.89, 0.72], [0.53, 0.17], [1.82, 0.01], [31.78, 0.74], '0.128', '3', 'z', [13.1833, 37.0667], 'NGC 5005', 'Ia']
['1996bk', '0.0066', [14.81, 0.34], [-2.86, 0.37], [0.56, 0.06], [32.41, 0.38], '0.128', '3', 'z', [13.7833, 60.9667], 'NGC 5308', 'Ia']
['1996bl', '0.0360', [16.62, 0.07], [-0.09, 0.18], [0.04, 0.02], [35.82, 0.17], '0.128', '3', '', [0.605, 11.4], 'Anon.', 'Ia']
['1996bo', '0.0163', [15.82, 0.13], [-1.04, 0.18], [0.4, 0.01], [34.02, 0.2], '0.128', '3', '', [1.8067, 11.5167], 'NGC 673', 'Ia']
