2691	2700z			0	0	0	47	13.1	1.80E+01
2703z	2705z			0	3.1	15	41	0.9	3.90E+04
2720	2725	2739z		0	5.9	-18	26	5.7	1.80E+02
2720	2725			0	3.7	-18	9	5.1	8.00E+02
16z	2696z			0	7.5	3	33	1.9	1.40E+01
2721z	2730z	2750		0	8.2	-36	8	6	2.10E+01
2721z	2730z			0	5.5	-35	29	1.3	3.20E+02
14z	2734z			0	10.7	-26	39	6.8	2.20E+01
2754	2762z			0	15.8	-53	27	11.5	7.00E+01
2736z	2773			0	16.1	-43	7	11.3	1.80E+01
2758z	2769			0	18.8	-40	59	5.7	4.30E+01
2731z	2806z			0	22.8	-56	51	12.5	9.50E+01
2764z	2782			0	22.9	-51	35	5.6	2.10E+01
62	67z	69		0	34	19	4	6.4	2.30E+02
67z	69			0	34.7	18	31	6.4	9.20E+02
71z	77z			0	36.5	29	17	1.6	2.00E+04
40z	79z	84z	98z	0	36.7	18	50	36.1	1.40E+01
40z	79z			0	32	16	60	22.9	2.30E+01
84z	98z			0	41.5	20	40	7.9	5.00E+02
2797	2819z			0	39.2	-63	24	8.6	8.20E+01
88z	2788	2804	2811	0	39.5	-28	18	23.2	1.50E+01
2814	2829z								
2788	2804	2811	2814	0	36.9	-28	40	14.2	2.30E+01
2804	2814			0	39	-29	2	0	1.10E+03
74z	80z	86z	114z	0	43.8	-22	23	22.8	2.00E+01
133z	2800z	2816	2824z						
74z	80z	86z	2800z	0	37.4	-23	45	10.2	1.10E+02
114z	133z	2824z		0	52.5	-21	53	6.8	8.80E+01
80z	2800z			0	36.7	-25	10	8.3	2.00E+02
74z	86z			0	38.2	-22	20	7.4	2.60E+02
114z	2824z			0	48.6	-21	47	1.8	2.00E+03
102z	116z	134z		0	53.3	0	26	19.8	1.50E+01
102z	116z			0	49.7	0	44	10.2	1.30E+02
118z	122z			0	54.1	-26	37	2.5	3.30E+03
85z	117z	126z	151z	0	54.1	-12	32	8.9	1.80E+01
85z	117z			0	46.3	-9	58	4.3	1.50E+02
126z	151z			1	1.8	-15	5	4.3	3.10E+02
2843	2850z			0	55.5	-28	33	3.8	1.20E+02
115z	132			0	56.8	26	25	31	2.50E+01
2841z	2854z	2889z		1	1.3	-49	36	8	2.60E+01
2841z	2854z			0	55.7	-50	0	2.5	2.70E+02
2859z	2864			1	1.6	-67	31	6.3	3.30E+02
119z	147z	168z		1	4	0	7	3.1	1.30E+02
147z	168z			1	9.1	0	56	3.1	7.70E+02
2860z	2870z	2877z		1	5	-44	28	13	4.90E+01
2870z	2877z			1	6.5	-46	40	1.5	3.40E+04
125z	170			1	5.5	13	25	19.3	1.40E+01
136z	137	143	163	1	6.4	24	60	28.7	2.10E+01
167									
137	143	163	167	1	7.6	25	2	1.8	1.10E+02
137	143			1	2.9	25	44	1.7	3.40E+03
163	167			1	12.4	24	20	0.8	3.80E+04
150z	154z	158z	171z	1	9.6	15	44	32.4	1.20E+01
150z	154z	158z		1	8	15	38	17.3	2.90E+01
154z	158z			1	8.7	17	0	9	3.80E+02
157	166z			1	10.3	-15	37	12.4	3.70E+01
161z	174z			1	14.5	36	21	0	1.60E+03
183z	2894	2902		1	18	-21	55	11.5	4.00E+01
183z	2894			1	17.3	-22	32	8	1.20E+02
160z	193z	195z		1	19	14	13	18.7	1.20E+01
160z	195z			1	17.2	17	5	9.2	1.00E+02
172	192z	203		1	20.6	2	57	21.1	1.40E+01
172	192z			1	18	3	36	6.4	1.00E+02
186z	190z			1	20.7	-10	24	4.4	1.60E+03
175z	200			1	21.1	14	47	14.3	9.00E+01
204z	224z			1	30.9	-7	8	19.3	1.60E+01
201z	247			1	33.9	16	50	28.4	1.50E+01
209z	222z	223z	242	1	34.9	-13	40	40.3	1.50E+01
209z	222z	223z		1	33.3	-13	23	16.3	1.10E+02
222z	223z			1	35.2	-13	9	13.1	6.10E+02
216z	217z	243z		1	36.1	-8	30	12.9	1.90E+01
216z	217z			1	34.1	-7	30	10.1	1.00E+02
218	232z	236z		1	36.6	-11	15	26.3	1.80E+01
232z	236z			1	37.8	-11	22	0	1.60E+02
213	221	227	234z	1	39	18	55	39.3	1.60E+01
244	249	250							
213	221	227	249	1	38.7	19	5	1.8	3.80E+01
250									
234z	244			1	39.8	18	27	6.4	7.10E+02
221	227			1	36.2	17	54	0.4	1.30E+04
249	250			1	44.1	19	38	0.7	1.60E+04
226z	228z	259z		1	40.3	-11	2	5.1	1.40E+01
226z	228z			1	36.6	-10	25	2.2	1.50E+04
240z	246z			1	40.7	6	28	25.3	2.10E+01
245z	279z			1	47.6	3	29	2.2	2.30E+01
256	274z			1	48.6	-5	19	9.2	2.80E+01
225z	257z	292z	311z	1	52.1	17	41	15.2	2.00E+01
292z	311z			2	3	19	10	0.9	1.90E+03
292z	311z			2	3	19	10	0.9	1.90E+03
266z	277z	281z		1	52.7	-6	3	21.6	2.40E+01
266z	277z			1	51.7	-6	1	0.9	8.00E+01
272z	278z			1	53.4	32	50	6.9	7.30E+02
293z	312			2	3.2	4	5	8.5	4.70E+01
316	332z			2	10.3	-13	47	27.2	1.90E+01
2988z	3004z	3009z		2	16.1	-48	8	7.7	1.30E+02
262z	347z	426z		2	29.3	39	38	8.2	1.00E+02
347z	426z			2	49	41	29	3.3	3.70E+02
376z	407z			2	50.6	36	9	5.8	6.20E+02
389z	3070z			2	51.7	-25	1	9.5	1.20E+02
397z	400z			2	54.6	10	47	26.4	1.20E+01
399z	401z			2	55.7	13	6	5.3	4.30E+03
403z	410z			2	58.9	3	27	42.6	1.30E+01
415z	423z			3	6.6	-12	16	2.8	1.50E+03
419z	3094z	3095z		3	8.6	-26	6	9.9	3.70E+01
3094z	3095z			3	9.8	-27	13	9.9	1.10E+02
3093z	3100z	3108z	3109z	3	12.5	-46	51	14.5	1.70E+01
3100z	3108z	3109z		3	13.6	-46	37	0.6	2.60E+01
3100z	3108z			3	12.9	-47	54	0	1.00E+05
3111	3112z			3	16.1	-45	10	4.6	2.30E+02
3120z	3123z			3	20.9	-51	51	14.2	3.10E+01
3104	3133z			3	21.8	-45	51	2.2	1.20E+02
3110z	3131			3	22.5	-51	9	3.8	8.00E+01
3125z	3128z	3158z	3164z	3	35.3	-54	21	9.2	1.80E+01
3125z	3128z	3158z		3	32.2	-53	24	4	1.50E+02
3125z	3128z			3	27.4	-53	12	1.2	2.40E+03
3136z	3186z			3	42.7	-73	4	18.4	5.90E+01
3144z	3193z	3202z		3	50.6	-53	49	26.9	1.20E+01
3144z	3202z			3	47.4	-54	29	10.7	8.10E+01
3163	3229z			3	57.4	-57	15	2.4	2.40E+02
465z	478z			3	59.4	8	16	8.4	4.30E+01
3225z	3231z	3266z		4	16.8	-62	1	13.9	2.60E+01
3231z	3266z			4	20.9	-63	9	7.4	5.40E+01
449z	527z			4	23.7	74	20	5.6	7.10E+01
484z	496z	536z		4	36.9	-10	9	20.4	1.60E+01
484z	496z			4	22.6	-10	35	16.8	3.60E+01
