['0.479990', '230.584707', '40.599659', '5192', '80.798299']
['0.528326', '229.645648', '40.254363', '5105', '88.868064']
['0.553464', '165.689732', '2.739946', '3849', '84.295956']
['0.487616', '168.843503', '28.158624', '8162', '70.975403']
['0.548812', '202.323497', '3.488823', '1780', '78.501241']
['0.511347', '139.487862', '40.182311', '3110', '61.162061']
['0.498291', '173.791664', '1.276245', '503', '94.082190']
['0.493364', '256.832096', '31.608562', '4649', '59.335040']
['0.496003', '201.442957', '42.788142', '11401', '66.650181']
['0.532154', '159.709400', '10.564412', '6616', '87.833109']
['0.497016', '170.059867', '29.150263', '8060', '61.994548']
['0.569881', '206.406539', '42.881690', '11420', '83.347682']
['0.521715', '248.112045', '32.339001', '4770', '69.085745']
['0.563199', '219.166886', '3.440847', '1813', '79.813019']
['0.580892', '132.139094', '47.859159', '5090', '86.678084']
['0.499826', '252.735833', '20.788193', '2454', '90.930889']
['0.448823', '128.699351', '47.744475', '5095', '72.917295']
['0.482559', '157.219577', '4.060074', '3928', '84.421741']
['0.550335', '139.119393', '34.353476', '7587', '70.689737']
['0.470179', '141.617989', '32.653017', '7609', '76.197980']
['0.556318', '195.034749', '12.849095', '5997', '66.031200']
['0.509398', '260.220789', '32.480498', '4965', '50.756830']
['0.490190', '125.573975', '26.421943', '2672', '65.999678']
['0.494633', '227.757047', '32.437232', '3371', '70.519238']
['0.479798', '194.412655', '33.254796', '7750', '63.658059']
['0.558088', '231.558762', '33.375095', '4724', '72.850405']
['0.576265', '218.794904', '9.756884', '6112', '83.822130']
['0.592673', '175.017686', '2.937098', '3866', '94.693034']
['0.560900', '219.115347', '25.758769', '7861', '74.137287']
['0.495438', '258.864729', '35.619101', '4833', '57.115979']
['0.509581', '240.266269', '42.442930', '11257', '77.254890']
['0.511887', '165.330299', '27.658311', '8020', '59.892942']
['0.532549', '190.237757', '0.878666', '496', '58.342462']
['0.497099', '197.081243', '31.246993', '7753', '55.377487']
['0.544675', '236.870081', '20.126243', '1531', '70.894752']
['0.526353', '255.662499', '41.876002', '11696', '51.034278']
['0.565604', '195.995923', '13.320192', '5998', '88.815751']
['0.587907', '175.758766', '4.123862', '4261', '77.491154']
['0.551498', '187.818065', '41.743685', '1295', '77.330510']
['0.517614', '138.912571', '2.762468', '1021', '66.014239']
['0.503136', '185.912507', '36.158432', '1433', '54.303881']
['0.578052', '229.106877', '39.982457', '5106', '72.641929']
['0.556181', '138.063480', '35.180689', '3201', '50.974918']
['0.542606', '168.970385', '2.749685', '3837', '74.104134']
['0.497968', '128.693784', '35.372843', '2633', '61.104796']
['0.531471', '189.633258', '9.418796', '5836', '78.338028']
['0.503136', '142.642579', '25.748408', '7683', '65.188274']
['0.583152', '155.119987', '-1.577281', '737', '64.269591']
['0.534733', '233.608823', '11.579929', '4513', '66.721166']
['0.510630', '171.579069', '31.386726', '7844', '67.989751']
['0.557827', '199.011067', '42.625199', '11489', '71.644492']
['0.523531', '194.947489', '25.534814', '8268', '56.355979']
['0.511232', '193.121293', '10.185130', '5828', '60.852552']
['0.542086', '204.289189', '50.386304', '11464', '77.911591']
['0.505840', '178.216743', '13.318119', '5926', '63.407882']
['0.468939', '131.213335', '7.091348', '4367', '77.460701']
['0.466315', '168.654078', '11.333771', '6010', '58.937387']
