['0.479990', '230.584707', '40.599659', '5192', '80.798299']
['0.528326', '229.645648', '40.254363', '5105', '97.519804']
['0.553464', '165.689732', '2.739946', '3849', '147.778924']
['0.487616', '168.843503', '28.158624', '8162', '116.042255']
['0.548812', '202.323497', '3.488823', '1780', '95.924428']
['0.511347', '139.487862', '40.182311', '3110', '71.535811']
['0.498291', '173.791664', '1.276245', '503', '95.846428']
['0.493364', '256.832096', '31.608562', '4649', '59.335040']
['0.496003', '201.442957', '42.788142', '11401', '143.204942']
['0.532154', '159.709400', '10.564412', '6616', '172.176313']
['0.569881', '206.406539', '42.881690', '11420', '180.246951']
['0.521715', '248.112045', '32.339001', '4770', '160.349851']
['0.563199', '219.166886', '3.440847', '1813', '100.043950']
['0.580892', '132.139094', '47.859159', '5090', '103.803629']
['0.499826', '252.735833', '20.788193', '2454', '93.475988']
['0.448823', '128.699351', '47.744475', '5095', '146.466149']
['0.482559', '157.219577', '4.060074', '3928', '84.421741']
['0.550335', '139.119393', '34.353476', '7587', '91.143065']
['0.470179', '141.617989', '32.653017', '7609', '89.216853']
['0.556318', '195.034749', '12.849095', '5997', '126.819505']
['0.509398', '260.220789', '32.480498', '4965', '102.822501']
['0.490190', '125.573975', '26.421943', '2672', '65.999678']
['0.494633', '227.757047', '32.437232', '3371', '95.353177']
['0.479798', '194.412655', '33.254796', '7750', '128.943823']
['0.558088', '231.558762', '33.375095', '4724', '96.154159']
['0.576265', '218.794904', '9.756884', '6112', '172.372280']
['0.592673', '175.017686', '2.937098', '3866', '122.415747']
['0.560900', '219.115347', '25.758769', '7861', '125.012289']
['0.509581', '240.266269', '42.442930', '11257', '96.812851']
['0.511887', '165.330299', '27.658311', '8020', '74.642233']
['0.532549', '190.237757', '0.878666', '496', '128.720869']
['0.544675', '236.870081', '20.126243', '1531', '119.028781']
['0.526353', '255.662499', '41.876002', '11696', '82.743052']
['0.551498', '187.818065', '41.743685', '1295', '140.778951']
['0.517614', '138.912571', '2.762468', '1021', '104.401832']
['0.503136', '185.912507', '36.158432', '1433', '159.833495']
['0.578052', '229.106877', '39.982457', '5106', '72.641929']
['0.497968', '128.693784', '35.372843', '2633', '99.477078']
['0.531471', '189.633258', '9.418796', '5836', '128.744873']
['0.503136', '142.642579', '25.748408', '7683', '179.008918']
['0.583152', '155.119987', '-1.577281', '737', '114.057716']
['0.534733', '233.608823', '11.579929', '4513', '118.411149']
['0.523531', '194.947489', '25.534814', '8268', '177.733416']
['0.505840', '178.216743', '13.318119', '5926', '107.960327']
['0.468939', '131.213335', '7.091348', '4367', '178.711530']
['0.466315', '168.654078', '11.333771', '6010', '119.231289']
['0.528880', '184.508674', '53.211015', '10443', '96.566334']
['0.563739', '253.159527', '39.633584', '5511', '82.134506']
['0.503821', '213.519048', '34.822795', '1247', '119.454512']
['0.511234', '116.994360', '20.535628', '2668', '164.607529']
['0.515273', '223.393260', '19.961072', '7966', '94.552703']
['0.609526', '190.220688', '19.831217', '8632', '108.767897']
['0.454932', '236.765518', '15.672270', '1562', '76.636924']
['0.573108', '153.092070', '19.247359', '8464', '88.174206']
['0.470522', '126.791839', '23.749776', '3033', '67.058377']
['0.495224', '241.677151', '18.897070', '1561', '91.429913']
['0.466955', '151.797861', '9.037064', '5891', '82.707515']
['0.632786', '128.838600', '29.480145', '2697', '101.768990']
['0.558789', '230.299148', '23.651966', '1503', '89.589690']
['0.550894', '182.584831', '24.314155', '8252', '163.043389']
['0.607156', '226.135092', '8.079661', '5743', '115.512107']
['0.598159', '229.812403', '40.168843', '4996', '92.961957']
['0.496383', '230.569016', '8.646177', '6110', '186.250225']
['0.500831', '224.689761', '38.453578', '5185', '84.440041']
['0.496569', '248.729394', '39.460161', '9809', '116.572044']
['0.473220', '160.953624', '25.513528', '8160', '113.329138']
['0.484681', '187.718543', '11.042442', '5969', '56.751437']
['0.563153', '136.332871', '5.324508', '4350', '73.123285']
['0.540478', '173.734531', '49.035363', '10765', '102.785842']
['0.463399', '199.586971', '18.714275', '8650', '86.758646']
['0.594081', '237.595177', '20.713107', '1552', '111.173966']
['0.492887', '214.137342', '-1.344692', '1626', '68.922159']
['0.652167', '253.180044', '23.440181', '2346', '91.575892']
['0.629587', '215.034191', '27.598139', '7780', '105.555735']
['0.580620', '159.334925', '34.544142', '7549', '74.668560']
['0.557401', '249.493318', '20.237262', '2394', '149.893534']
['0.539864', '144.831133', '41.861641', '3105', '68.900375']
['0.549491', '155.640101', '39.630540', '3238', '107.264238']
['0.515958', '230.685063', '46.511100', '11190', '76.723399']
['0.545028', '145.445790', '10.478814', '5877', '153.708618']
['0.572044', '143.814325', '28.577148', '7692', '71.527531']
['0.564877', '145.234115', '35.021609', '3214', '78.740477']
['0.487466', '194.802957', '8.285212', '5723', '82.253750']
['0.474830', '220.034877', '-0.289550', '1681', '109.255747']
['0.529750', '244.717555', '15.932755', '2210', '77.934302']
['0.514349', '116.390178', '27.605852', '2601', '160.100782']
['0.498649', '145.281589', '6.020716', '4212', '105.703102']
['0.570508', '150.853300', '2.384563', '3925', '152.120385']
['0.454133', '258.694552', '30.395022', '4643', '82.019212']
['0.568811', '211.600563', '22.900564', '8546', '86.187468']
['0.484605', '219.379503', '19.760661', '7954', '69.709288']
['0.463977', '169.876776', '32.837113', '7522', '80.711787']
['0.510664', '176.390088', '28.774509', '8177', '84.238375']
['0.545989', '225.505609', '11.937286', '6240', '85.582134']
['0.635267', '130.776869', '21.202306', '2817', '110.594344']
['0.465269', '230.993991', '13.942802', '6384', '58.238804']
['0.562747', '240.910010', '46.683708', '9701', '62.392978']
['0.595388', '258.352673', '33.757286', '4665', '148.455539']
['0.449823', '126.868385', '38.652624', '387', '77.204032']
['0.477818', '203.006692', '6.138203', '4568', '85.256171']
['0.610819', '126.237150', '8.579784', '6651', '76.397196']
['0.515838', '132.345498', '38.276825', '3114', '85.941456']
['0.527646', '234.005294', '39.096806', '5193', '61.318869']
['0.593783', '133.299295', '3.066072', '1030', '97.637929']
['0.530264', '115.702035', '34.574731', '317', '164.386095']
['0.515945', '192.815396', '14.051912', '6179', '67.780928']
['0.490668', '160.132293', '37.257759', '3458', '148.155217']
['0.612233', '122.029371', '52.620837', '114', '77.366567']
['0.515514', '128.743768', '5.357358', '4347', '105.261950']
['0.571306', '209.509813', '7.086923', '5770', '140.952546']
['0.638623', '164.807789', '3.129060', '3862', '111.467658']
['0.502077', '144.384465', '-0.994291', '488', '62.002075']
