13:33.1,-10:13:09.92,b003,,,,,,,,,,,,,,,,,,,,,,,,,,,
19:16.1,-07:44:06.72,b004,,,,,,,,,,,,,,,,,,,,,,,,,,,
35:58.0,-10:05:56.88,b008,,,,,,,,,,,,,,,,,,,,,,,,,,,
30:40.0,-08:11:40.50,b010,,,,,,,,,,,,,,,,,,,,,,,,,,,
31:20.7,-08:36:13.12,b013,,,,,,,,,,,,,,,,,,,,,,,,,,,
30:09.7,-09:35:01.75,b016,,,,,,,,,,,,,,,,,,,,,,,,,,,
29:44.1,-09:36:34.25,b017,,,,,,,,,,,,,,,,,,,,,,,,,,,
04:41.0,-05:09:40.73,b020,,,,,,,,,,,,,,,,,,,,,,,,,,,
07:27.3,-03:50:20.73,b022,,,,,,,,,,,,,,,,,,,,,,,,,,,
20:35.4,-09:34:43.90,b023,,,,,,,,,,,,,,,,,,,,,,,,,,,
28:38.4,+00:40:29.29,b027,,,,,,,,,,,,,,,,,,,,,,,,,,,
13:36.7,-10:08:24.00,c003,,,,,,,,,,,,,,,,,,,,,,,,,,,
20:11.0,-09:04:37.50,c012,,,,,,,,,,,,,,,,,,,,,,,,,,,
30:00.5,-08:36:22.41,c015,,,,,,,,,,,,,,,,,,,,,,,,,,,
28:03.2,+00:37:50.43,c023,,,,,,,,,,,,,,,,,,,,,,,,,,,
25:24.0,-09:26:00.63,d033,,,,,,,,,,,,,,,,,,,,,,,,,,,
07:58.5,+00:03:01.89,d058,,,,,,,,,,,,,,,,,,,,,,,,,,,
29:21.2,-09:02:15.57,d083,,,,,,,,,,,,,,,,,,,,,,,,,,,
28:50.9,-09:09:58.14,d084,,,,,,,,,,,,,,,,,,,,,,,,,,,
27:58.2,-08:57:11.82,d085,,,,,,,,,,,,,,,,,,,,,,,,,,,
27:01.7,-09:24:04.49,d086,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:06.2,+00:13:44.21,d087,,,,,,,,,,,,,,,,,,,,,,,,,,,
28:28.6,-08:08:44.74,d089,,,,,,,,,,,,,,,,,,,,,,,,,,,
29:52.2,-08:32:28.09,d093,,,,,,,,,,,,,,,,,,,,,,,,,,,
31:54.6,-08:35:48.43,d097,,,,,,,,,,,,,,,,,,,,,,,,,,,
07:54.8,-03:28:28.40,d099,,,,,,,,,,,,,,,,,,,,,,,,,,,
30:51.2,-09:28:33.95,d100,,,,,,,,,,,,,,,,,,,,,,,,,,,
31:06.8,-08:45:36.51,d117,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:54.0,-04:25:49.76,d149,,,,,,,,,,,,,,,,,,,,,,,,,,,
25:36.1,-09:31:44.70,e020,,,,,,,,,,,,,,,,,,,,,,,,,,,
09:48.8,+01:00:05.58,e029,,,,,,,,,,,,,,,,,,,,,,,,,,,
30:01.0,-09:04:35.89,e108,,,,,,,,,,,,,,,,,,,,,,,,,,,
09:15.6,-03:35:41.38,e132,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:06.5,-03:47:56.09,e136,,,,,,,,,,,,,,,,,,,,,,,,,,,
00:00.0,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33:47.0,-08:36:22.09,e138,,,,,,,,,,,,,,,,,,,,,,,,,,,
31:04.1,-08:10:56.64,e140,,,,,,,,,,,,,,,,,,,,,,,,,,,
31:02.6,-08:39:50.81,e147,,,,,,,,,,,,,,,,,,,,,,,,,,,
31:21.0,-08:36:14.16,e148,,,,,,,,,,,,,,,,,,,,,,,,,,,
31:34.5,-08:36:46.41,e149,,,,,,,,,,,,,,,,,,,,,,,,,,,
08:36.2,-00:33:20.78,e315,,,,,,,,,,,,,,,,,,,,,,,,,,,
09:42.5,-03:46:48.58,e531,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:19.5,-04:59:32.30,f011,,,,,,,,,,,,,,,,,,,,,,,,,,,
08:08.7,+00:27:09.74,f041,,,,,,,,,,,,,,,,,,,,,,,,,,,
08:49.8,-00:44:13.49,f076,,,,,,,,,,,,,,,,,,,,,,,,,,,
24:25.5,-08:45:51.11,f096,,,,,,,,,,,,,,,,,,,,,,,,,,,
35:41.2,-08:06:29.55,f216,,,,,,,,,,,,,,,,,,,,,,,,,,,
