Name,R.A.,Decl.,z,,,,,,,,,
RXC J0000.1+0816...,0.0295,8.2744,0.0396,,,,,,,,,
RXC J0001.9+1204...,0.4877,12.073,0.2033,,,,,,,,,
RXC J0004.9+1142...,1.2473,11.7006,0.0761,,,,,,,,,
RXC J0005.3+1612...,1.344,16.2105,0.1164,,,,,,,,,
RXC J0006.3+1052...,1.5906,10.8677,0.1698,,,,,,,,,
RXC J0011.7+3225...,2.935,32.417,0.1073,,,,,,,,,
RXC J0016.7+0646...,4.1895,6.7736,0.0833,,,,,,,,,
RXC J0019.6+2517...,4.9128,25.2908,0.1353,,,,,,,,,
RXC J0020.1+0005...,5.0444,0.0917,0.2124,,,,,,,,,
RXC J0020.6+2840...,5.1705,28.6751,0.094,,,,,,,,,
RXC J0021.5+2803...,5.3997,28.0513,0.0948,,,,,,,,,
RXC J0024.5+3312...,6.1327,33.2087,0.226,,,,,,,,,
RXC J0027.8+2616...,6.9573,26.2738,0.3668,,,,,,,,,
RXC J0039.6+2114...,9.9,21.239,0.0619,,,,,,,,,
RXC J0040.4+2933...,10.114,29.5593,0.0712,,,,,,,,,
RXC J0041.7+2124...,10.4462,21.414,0.1014,,,,,,,,,
RXC J0058.9+2657...,14.7258,26.9507,0.0451,,,,,,,,,
RXC J0105.0+0201...,16.2595,2.0301,0.1967,,,,,,,,,
RXC J0106.8+0103...,16.7094,1.0546,0.2537,,,,,,,,,
RXC J0108.2+0210...,17.0533,2.18,0.0447,,,,,,,,,
RXC J0110.0+1358...,17.5229,13.9804,0.0581,,,,,,,,,
RXC J0110.9+3308...,17.7419,33.1494,0.0177,,,,,,,,,
RXC J0112.2+3302...,18.0721,33.0384,0.1249,,,,,,,,,
RXC J0113.0+1531...,18.2741,15.517,0.0442,,,,,,,,,
RXC J0114.9+0024...,18.7397,0.4056,0.0448,,,,,,,,,
RXC J0121.9+0021...,20.4929,0.3575,0.1756,,,,,,,,,
RXC J0123.1+3327...,20.797,33.462,0.0153,,,,,,,,,
RXC J0124.5+0145...,21.3744,1.7629,0.0183,,,,,,,,,
RXC J0142.0+2130...,25.5128,21.5109,0.0698,,,,,,,,,
RXC J0152.7+0100...,28.1817,1.016,0.227,,,,,,,,,
RXC J0152.7+3609...,28.1948,36.1513,0.0163,,,,,,,,,
RXC J0152.9+3732...,28.2451,37.5354,0.2993,,,,,,,,,
RXC J0155.1+3355...,28.7897,33.9222,0.0872,,,,,,,,,
RXC J0200.2+3126...,30.0687,31.4365,0.0168,,,,,,,,,
RXC J0209.5+1946...,32.3796,19.7695,0.0657,,,,,,,,,
RXC J0228.1+2811...,37.0401,28.1943,0.0353,,,,,,,,,
RXC J0246.0+3653...,41.5108,36.8879,0.0488,,,,,,,,,
RXC J0255.8+0918...,43.9639,9.3134,0.0258,,,,,,,,,
RXC J0257.8+1302...,44.4574,13.0492,0.0722,,,,,,,,,
RXC J0258.9+1334...,44.7396,13.5795,0.0739,,,,,,,,,
RXC J0301.6+0155...,45.4083,1.9205,0.1695,,,,,,,,,
RXC J0311.5+0714...,47.8992,7.238,0.142,,,,,,,,,
RXC J0313.3+2624...,48.3437,26.4068,0.1649,,,,,,,,,
RXC J0338.6+0958...,54.6699,9.9745,0.0347,,,,,,,,,
RXC J0341.2+1524...,55.3206,15.4074,0.0311,,,,,,,,,
RXC J0352.9+1941...,58.2492,19.6895,0.1085,,,,,,,,,
RXC J0404.6+1109...,61.1558,11.1658,0.3548,,,,,,,,,
RXC J0413.4+1028...,63.3565,10.4669,0.0882,,,,,,,,,
RXC J0419.6+0224...,64.9067,2.4144,0.0123,,,,,,,,,
RXC J0439.0+0520...,69.7598,5.3439,0.208,,,,,,,,,
RXC J0439.0+0715...,69.7528,7.2625,0.245,,,,,,,,,
RXC J0448.0+1037...,72.0016,10.6183,0.094,,,,,,,,,
RXC J0448.2+0952...,72.0619,9.8736,0,,,,,,,,,
RXC J0454.1+0255...,73.5458,2.918,0.203,,,,,,,,,
RXC J0459.1+0846...,74.7757,8.7804,0.1034,,,,,,,,,
RXC J0503.1+0607...,75.7802,6.1272,0.088,,,,,,,,,
RXC J0506.9+0257...,76.7253,2.9523,0.1475,,,,,,,,,
RXC J0618.5+6724...,94.65,67.407,0.1127,,,,,,,,,
RXC J0704.4+6318...,106.1022,63.3161,0.098,,,,,,,,,
RXC J0708.1+7151...,107.0316,71.857,0.1053,,,,,,,,,
RXC J0716.7+5324...,109.1776,53.4078,0.0644,,,,,,,,,
RXC J0721.3+5547...,110.3426,55.7864,0.0381,,,,,,,,,
RXC J0724.9+6658...,111.2298,66.9785,0.0863,,,,,,,,,
RXC J0726.0+4122...,111.5022,41.3821,0.112,,,,,,,,,
RXC J0728.9+2935...,112.2379,29.5863,0.3976,,,,,,,,,
RXC J0729.7+7915...,112.4419,79.2537,0.1058,,,,,,,,,
RXC J0732.3+3137...,113.0916,31.6296,0.171,,,,,,,,,
RXC J0736.4+3925...,114.1059,39.4332,0.1177,,,,,,,,,
RXC J0737.6+5920...,114.4223,59.3404,0.0384,,,,,,,,,
RXC J0740.9+5525...,115.2476,55.432,0.034,,,,,,,,,
RXC J0741.5+2557...,115.3757,25.9628,0.1577,,,,,,,,,
RXC J0741.7+7414...,115.4367,74.2478,0.2149,,,,,,,,,
RXC J0746.6+3100...,116.6554,31.0136,0.0579,,,,,,,,,
RXC J0748.1+1832...,117.0394,18.5465,0.04,,,,,,,,,
RXC J0751.3+5012...,117.8437,50.2125,0.0228,,,,,,,,,
RXC J0756.9+3839...,119.2316,38.6501,0.2203,,,,,,,,,
RXC J0758.3+2640...,119.5888,26.6792,0.2315,,,,,,,,,
RXC J0759.7+5400...,119.9284,54.0016,0.1032,,,,,,,,,
RXC J0800.9+3602...,120.2455,36.0471,0.288,,,,,,,,,
RXC J0804.3+4646...,121.0915,46.7823,0.1868,,,,,,,,,
RXC J0805.7+4541...,121.4304,45.6903,0.1353,,,,,,,,,
RXC J0811.0+1644...,122.7599,16.7349,0.0925,,,,,,,,,
RXC J0811.1+7002...,122.7833,70.0395,0.223,,,,,,,,,
RXC J0821.0+0751...,125.2574,7.866,0.11,,,,,,,,,
RXC J0822.1+4705...,125.5404,47.0999,0.1303,,,,,,,,,
RXC J0825.5+4707...,126.3761,47.1299,0.1267,,,,,,,,,
RXC J0825.7+8218...,126.436,82.31,0.2,,,,,,,,,
RXC J0828.6+3025...,127.1621,30.428,0.0503,,,,,,,,,
RXC J0830.9+6551...,127.7428,65.8503,0.1818,,,,,,,,,
RXC J0840.5+0543...,130.1302,5.7332,0.2651,,,,,,,,,
RXC J0842.9+3621...,130.7362,36.3625,0.282,,,,,,,,,
RXC J0844.9+4258...,131.2361,42.9817,0.0541,,,,,,,,,
RXC J0847.7+7741...,131.9414,77.692,0.26,,,,,,,,,
RXC J0850.2+3603...,132.5501,36.0601,0.378,,,,,,,,,
RXC J0856.1+3756...,134.0356,37.9479,0.4107,,,,,,,,,
RXC J0909.1+1059...,137.2832,10.9925,0.1751,,,,,,,,,
RXC J0917.8+5143...,139.4624,51.7248,0.2172,,,,,,,,,
RXC J0920.0+0102...,140.002,1.0401,0.0175,,,,,,,,,
RXC J0920.4+3030...,140.1087,30.515,0.2952,,,,,,,,,
RXC J0921.1+4538...,140.2857,45.6437,0.1745,,,,,,,,,
RXC J0924.0+1410...,141.0238,14.1684,0.1357,,,,,,,,,
RXC J0928.6+3747...,142.1573,37.7986,0.2472,,,,,,,,,
RXC J0938.2+7553...,144.5666,75.8872,0.1503,,,,,,,,,
